ResponseId,Country_Normalized,ConvertedCompYearly,devtype_grouped,PlatformHaveWorkedWith
957,Denmark,129602.0,Management,Amazon Web Services (AWS)
957,Denmark,129602.0,Management,Firebase
957,Denmark,129602.0,Management,Google Cloud
958,France,93642.0,Software Developer,Amazon Web Services (AWS)
958,France,93642.0,Software Developer,Cloudflare
958,France,93642.0,Software Developer,Microsoft Azure
960,Netherlands,66162.0,Software Developer,Cloudflare
960,Netherlands,66162.0,Software Developer,Google Cloud
960,Netherlands,66162.0,Software Developer,Microsoft Azure
961,South Africa,64570.0,Software Developer,Amazon Web Services (AWS)
961,South Africa,64570.0,Software Developer,Managed Hosting
964,Netherlands,53703.0,Software Developer,Microsoft Azure
965,Japan,66826.0,Software Developer,Amazon Web Services (AWS)
